ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-10-17,31403.066084655617,64226.25000000001,26605.141410624714,35489.221888080436,31403.066084655617,31403.066084655617,-438.677146738449,-438.677146738449,-438.677146738449,-438.677146738449,-438.677146738449,-438.677146738449,0.0,0.0,0.0,30964.388937917167
2016-10-24,31387.093208446673,64226.25000000001,25913.4201094653,34579.53784348014,31387.093208446673,31387.093208446673,-1210.8716549833919,-1210.8716549833919,-1210.8716549833919,-1210.8716549833919,-1210.8716549833919,-1210.8716549833919,0.0,0.0,0.0,30176.22155346328
2016-10-31,31371.12069165508,64226.25000000001,25132.097097404556,33564.92679706253,31371.12069165508,31371.12069165508,-1887.700124613972,-1887.700124613972,-1887.700124613972,-1887.700124613972,-1887.700124613972,-1887.700124613972,0.0,0.0,0.0,29483.420567041107
2016-11-07,31355.148542179548,64226.25000000001,24703.517906596495,33362.64548597005,31355.148542179548,31355.148542179548,-2200.2997898089443,-2200.2997898089443,-2200.2997898089443,-2200.2997898089443,-2200.2997898089443,-2200.2997898089443,0.0,0.0,0.0,29154.848752370603
2016-11-14,31339.17676791808,64226.25000000001,24452.10813906571,33453.17328968612,31339.17676791808,31339.17676791808,-2201.5446543662806,-2201.5446543662806,-2201.5446543662806,-2201.5446543662806,-2201.5446543662806,-2201.5446543662806,0.0,0.0,0.0,29137.6321135518
2016-11-21,31323.205376767968,64226.25000000001,24871.039868510612,33414.56405698369,31323.205376767968,31323.205376767968,-2158.9625821730815,-2158.9625821730815,-2158.9625821730815,-2158.9625821730815,-2158.9625821730815,-2158.9625821730815,0.0,0.0,0.0,29164.242794594888
2016-11-28,31307.234376625704,64226.25000000001,24505.12503064648,33610.06322502419,31307.234376625704,31307.234376625704,-2190.6852806793177,-2190.6852806793177,-2190.6852806793177,-2190.6852806793177,-2190.6852806793177,-2190.6852806793177,0.0,0.0,0.0,29116.549095946386
2016-12-05,31291.26377538701,64226.25000000001,24828.40300644335,33781.58806258079,31291.26377538701,31291.26377538701,-2093.730003998248,-2093.730003998248,-2093.730003998248,-2093.730003998248,-2093.730003998248,-2093.730003998248,0.0,0.0,0.0,29197.533771388764
2016-12-12,31275.293580946847,64226.25000000001,25352.93806031887,34344.467343378135,31275.293580946847,31275.293580946847,-1575.748936280082,-1575.748936280082,-1575.748936280082,-1575.748936280082,-1575.748936280082,-1575.748936280082,0.0,0.0,0.0,29699.544644666767
2016-12-19,31259.32380119933,64226.25000000001,26411.968816151053,34939.19130817782,31259.32380119933,31259.32380119933,-619.5111189290446,-619.5111189290446,-619.5111189290446,-619.5111189290446,-619.5111189290446,-619.5111189290446,0.0,0.0,0.0,30639.812682270287
